fixed metal distribution -- based on Grevesse & Sauval (1998) solar abundances
    form     version        X           Z          logRs    logR_min    logR_max       logTs    logT_min    logT_max
       1          36    0.700000    0.020000          37   -8.000000    1.000000         138    3.750000    8.700000

   logT                       logR = logRho - 3*logT + 18
          -8.000  -7.750  -7.500  -7.250  -7.000  -6.750  -6.500  -6.250  -6.000  -5.750  -5.500  -5.250  -5.000  -4.750  -4.500  -4.250  -4.000  -3.750  -3.500  -3.250  -3.000  -2.750  -2.500  -2.250  -2.000  -1.750  -1.500  -1.250  -1.000  -0.750  -0.500  -0.250   0.000   0.250   0.500   0.750   1.000

   4.875  -0.400  -0.394  -0.386  -0.378  -0.368  -0.355  -0.339  -0.318  -0.288  -0.249  -0.194  -0.121  -0.027   0.092   0.236   0.406   0.598   0.810   1.038   1.278   1.528   1.783   2.041   2.300   2.558   2.812   3.062   3.307   3.544   3.773   3.992   4.200   4.395   4.576   4.742   4.890   5.021
   4.900  -0.392  -0.385  -0.378  -0.370  -0.360  -0.347  -0.331  -0.310  -0.281  -0.242  -0.190  -0.119  -0.028   0.088   0.228   0.393   0.581   0.788   1.013   1.251   1.499   1.754   2.013   2.272   2.530   2.786   3.037   3.283   3.522   3.752   3.971   4.178   4.372   4.551   4.713   4.858   4.986
   4.925  -0.381  -0.376  -0.369  -0.361  -0.351  -0.338  -0.321  -0.301  -0.272  -0.234  -0.183  -0.114  -0.026   0.087   0.223   0.385   0.569   0.773   0.994   1.230   1.476   1.730   1.989   2.249   2.508   2.765   3.017   3.264   3.503   3.734   3.954   4.160   4.353   4.529   4.688   4.828   4.950
   4.950  -0.368  -0.363  -0.357  -0.349  -0.339  -0.326  -0.310  -0.289  -0.260  -0.223  -0.172  -0.106  -0.019   0.090   0.223   0.382   0.562   0.763   0.982   1.215   1.459   1.712   1.971   2.231   2.491   2.748   3.000   3.248   3.488   3.720   3.939   4.145   4.336   4.509   4.663   4.798   4.914
   4.975  -0.350  -0.346  -0.340  -0.333  -0.323  -0.310  -0.294  -0.273  -0.245  -0.208  -0.158  -0.093  -0.008   0.099   0.229   0.384   0.561   0.759   0.975   1.206   1.449   1.701   1.958   2.218   2.478   2.735   2.988   3.236   3.477   3.708   3.927   4.132   4.320   4.489   4.639   4.766   4.874
   5.000  -0.327  -0.324  -0.318  -0.311  -0.302  -0.289  -0.273  -0.253  -0.225  -0.189  -0.140  -0.075   0.007   0.112   0.239   0.391   0.565   0.760   0.974   1.203   1.444   1.694   1.951   2.210   2.469   2.726   2.979   3.227   3.467   3.697   3.915   4.118   4.303   4.468   4.612   4.733   4.831
   5.025  -0.297  -0.295  -0.290  -0.283  -0.274  -0.262  -0.247  -0.227  -0.201  -0.165  -0.117  -0.054   0.027   0.129   0.254   0.402   0.573   0.766   0.977   1.204   1.443   1.692   1.947   2.205   2.464   2.720   2.973   3.220   3.458   3.687   3.902   4.101   4.282   4.442   4.580   4.693   4.783
   5.050  -0.265  -0.262  -0.257  -0.250  -0.241  -0.230  -0.215  -0.196  -0.170  -0.135  -0.089  -0.027   0.052   0.152   0.274   0.419   0.587   0.777   0.985   1.209   1.446   1.693   1.947   2.203   2.461   2.716   2.967   3.212   3.448   3.674   3.886   4.081   4.257   4.411   4.543   4.649   4.730
   5.075  -0.234  -0.228  -0.221  -0.212  -0.202  -0.190  -0.176  -0.157  -0.132  -0.099  -0.054   0.006   0.084   0.181   0.300   0.443   0.607   0.792   0.997   1.218   1.452   1.697   1.948   2.203   2.459   2.713   2.962   3.203   3.436   3.657   3.864   4.053   4.223   4.372   4.498   4.598   4.673
   5.100  -0.205  -0.196  -0.186  -0.175  -0.162  -0.149  -0.133  -0.114  -0.089  -0.057  -0.013   0.046   0.121   0.216   0.332   0.471   0.631   0.813   1.013   1.230   1.461   1.703   1.952   2.205   2.458   2.709   2.955   3.192   3.419   3.634   3.835   4.018   4.182   4.324   4.445   4.540   4.612
   5.125  -0.182  -0.169  -0.155  -0.141  -0.125  -0.109  -0.090  -0.069  -0.042  -0.009   0.034   0.092   0.165   0.257   0.370   0.504   0.660   0.837   1.033   1.246   1.473   1.711   1.957   2.206   2.457   2.704   2.945   3.177   3.397   3.604   3.797   3.973   4.130   4.268   4.384   4.477   4.548
